iid,aircraft,model,flight_date,damage,airline,dep_airport,origin_state,flight_phase,wildlife_size,sky_conditions,pilot_warned_flag,altitude_ft,heavy_flag,impact
204191,Airplane,EMB-120,11/05/00 0:00,Damage,SKYWEST AIRLINES,SACRAMENTO INTL,California,Approach,Medium,No Cloud,Y,"2,000",No,None
204441,Airplane,A-319,11/06/00 0:00,No damage,US AIRWAYS,PHILADELPHIA INTL,Pennsylvania,Approach,Small,No Cloud,N,"4,000",No,None
206406,Airplane,B-737-300,11/07/00 0:00,No damage,CONTINENTAL AIRLINES,ATLANTA INTL,Georgia,Approach,Large,Overcast,N,50,Yes,None
203254,Airplane,DC-9,11/07/00 0:00,No damage,NORTHWEST AIRLINES,AUSTIN STRAUBEL INTL,Wisconsin,Take-off run,Small,Overcast,N,0,No,None
206018,Airplane,PA-31T CHEYENNE II,11/08/00 0:00,Damage,GOVERNMENT,DES MOINES INTL,Iowa,Descent,Medium,Overcast,Y,"9,000",No,None
208957,Airplane,DA-50 FALCON,11/08/00 0:00,No damage,BUSINESS,WAUKEGAN REGIONAL ARPT,Illinois,Take-off run,Small,No Cloud,N,0,No,None
200641,Airplane,B-737-200,11/11/00 0:00,No damage,FRONTIER AIRLINES,DENVER INTL AIRPORT,Colorado,Approach,Small,Overcast,N,20,Yes,None
206414,Airplane,RKWLTRBO 690,11/12/00 0:00,No damage,BUSINESS,BIRMINGHAM-SHUTTLESWORTH INTL,Alabama,Climb,Small,No Cloud,Y,50,No,None
205559,Airplane,B-737-400,11/12/00 0:00,No damage,US AIRWAYS,LOGAN INTL,Massachusetts,Landing Roll,Small,No Cloud,N,0,Yes,None
208033,Airplane,SAAB-340,11/13/00 0:00,Damage,MESABA AIRLINES,MINNEAPOLIS-ST PAUL INTL,Minnesota,Climb,Large,Overcast,N,"1,800",No,Precautionary Landing
5401,Airplane,B-52H,11/13/00 0:00,No damage,MILITARY,BARKSDALE AIR FORCE BASE ARPT,Louisiana,Approach,Small,No Cloud,Y,500,No,None
203050,Airplane,MD-80,11/15/00 0:00,No damage,US AIRWAYS,LOGAN INTL,Massachusetts,Climb,Small,No Cloud,Y,100,No,None
208821,Airplane,B-727,11/16/00 0:00,No damage,DELTA AIR LINES,LAGUARDIA NY,New York,Climb,Small,No Cloud,N,400,No,None
202477,Airplane,B-767-300,11/16/00 0:00,Damage,DELTA AIR LINES,PALM BEACH INTL,Florida,Climb,Large,No Cloud,Y,400,Yes,Precautionary Landing
206885,Airplane,A-319,11/19/00 0:00,No damage,US AIRWAYS,RONALD REAGAN WASHINGTON NATL,DC,Approach,Small,Overcast,Y,25,No,None
205078,Airplane,B-737-300,11/24/00 0:00,No damage,UNITED AIRLINES,SAN FRANCISCO INTL ARPT,California,Landing Roll,Small,Overcast,N,0,Yes,None
4978,Airplane,C-17A,11/29/00 0:00,No damage,MILITARY,CHARLESTON AFB/INTL ARPT,South Carolina,Approach,Medium,No Cloud,Y,"1,600",No,None
208354,Airplane,B-757-200,12/01/00 0:00,No damage,NATIONAL AIRLINES,JOHN F KENNEDY INTL,New York,Take-off run,Small,No Cloud,N,0,Yes,Aborted Take-off
205670,Airplane,C-560,12/05/00 0:00,No damage,BUSINESS,LOVELL FIELD ARPT,Tennessee,Climb,Medium,Some Cloud,N,30,No,None
200949,Airplane,FOKKER F100,12/09/00 0:00,No damage,AMERICAN AIRLINES,JAMES M COX DAYTON INTL,Ohio,Landing Roll,Medium,No Cloud,N,0,No,None
4964,Airplane,B-52H,12/12/00 0:00,Damage,MILITARY,BARKSDALE AIR FORCE BASE ARPT,Louisiana,Climb,Medium,No Cloud,Y,500,No,Precautionary Landing
205109,Airplane,CL-RJ100/200,12/13/00 0:00,Damage,COMAIR AIRLINES,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,Kentucky,Climb,Medium,Overcast,N,400,No,Precautionary Landing
